time,open,high,low,close,volume
1775404800,25.82,26.0,25.93,25.93,15969
1775491200,26.43,26.48,26.21,26.44,18178
1775577600,26.85,27.13,26.73,26.92,13325
1775664000,27.38,27.64,27.39,27.42,22221
1775750400,26.88,27.2,26.88,26.94,18465
1776009600,26.69,26.7,26.49,26.69,28431
1776096000,27.13,27.29,27.15,27.17,7385
1776182400,26.77,26.89,26.63,26.84,29216
1776268800,27.55,27.95,27.62,27.69,12799
1776355200,27.56,27.74,27.49,27.63,23140
1776614400,27.63,27.95,27.63,27.72,12287
1776700800,27.66,27.8,27.57,27.71,29594
1776787200,27.04,27.1,26.96,27.06,26205
1776873600,26.41,26.56,26.23,26.44,16922
1776960000,26.78,26.92,26.86,26.88,6982
1777219200,26.42,26.67,26.45,26.47,21978
1777305600,26.81,27.07,26.71,26.9,18001
1777392000,26.97,27.04,26.79,26.99,15937
1777478400,26.23,26.36,26.08,26.24,8124
1777564800,26.17,26.22,25.99,26.18,27605
1777824000,25.6,25.73,25.48,25.64,22019
1777910400,25.74,25.94,25.72,25.82,16916
1777996800,25.29,25.63,25.34,25.38,6054
1778083200,24.47,24.68,24.36,24.55,27061
1778169600,24.18,24.22,23.99,24.2,23676
1778428800,24.25,24.49,24.09,24.25,22366
1778515200,24.41,24.6,24.3,24.46,15495
1778601600,24.23,24.29,24.15,24.27,9764
1778688000,24.27,24.55,24.34,24.39,7096
1778774400,24.18,24.33,24.08,24.24,7141
1779033600,23.7,23.96,23.58,23.75,19855
1779120000,24.07,24.35,24.07,24.11,26015
1779206400,23.91,24.07,23.81,23.93,8586
1779292800,23.95,24.15,23.95,23.97,14689
1779379200,23.83,23.95,23.76,23.87,12066
1779638400,24.29,24.55,24.12,24.31,23742
1779724800,24.67,24.97,24.71,24.72,9040
1779811200,24.92,25.19,24.81,25.0,11222
1779897600,24.78,25.01,24.88,24.89,15648
1779984000,24.24,24.3,24.08,24.28,13320
1780243200,24.1,24.24,24.06,24.15,29923
1780329600,24.68,24.75,24.61,24.75,6222
1780416000,19.1,19.5,19.05,19.4,111692995
