time,open,high,low,close,volume
1775404800,4603.66,4628.04,4593.41,4616.42,24373
1775491200,4618.95,4648.68,4614.45,4636.35,21267
1775577600,4658.44,4710.13,4657.16,4676.18,18719
1775664000,4644.2,4662.7,4603.09,4645.87,15032
1775750400,4559.94,4591.52,4538.8,4562.95,22634
1776009600,4528.62,4580.68,4525.92,4545.75,22427
1776096000,4398.43,4408.97,4398.02,4399.27,14480
1776182400,4327.09,4331.29,4322.11,4330.48,11212
1776268800,4334.9,4375.78,4312.31,4337.41,15265
1776355200,4401.12,4450.39,4373.14,4410.76,18354
1776614400,4361.85,4389.22,4372.27,4375.84,28162
1776700800,4501.5,4511.11,4486.01,4505.81,14963
1776787200,4327.68,4380.24,4311.5,4337.3,14539
1776873600,4385.84,4414.63,4392.56,4400.34,14581
1776960000,4346.78,4386.26,4341.31,4362.09,6371
1777219200,4346.24,4379.77,4335.48,4351.5,14352
1777305600,4370.72,4391.81,4351.24,4373.12,21048
1777392000,4386.03,4409.89,4397.49,4399.42,8226
1777478400,4369.27,4420.09,4358.44,4390.57,6228
1777564800,4390.73,4448.84,4369.83,4406.69,18076
1777824000,4505.83,4533.91,4493.88,4510.32,23670
1777910400,4513.78,4557.24,4515.25,4535.94,29172
1777996800,4524.85,4552.28,4495.99,4531.6,27507
1778083200,4527.06,4547.2,4502.86,4541.02,21855
1778169600,4469.46,4506.02,4474.19,4482.25,16278
1778428800,4391.27,4447.39,4370.95,4413.3,19423
1778515200,4407.52,4467.34,4394.23,4425.49,26439
1778601600,4308.93,4344.83,4279.78,4320.74,22396
1778688000,4415.74,4456.9,4420.13,4433.39,28023
1778774400,4367.78,4395.47,4366.35,4371.13,17539
1779033600,4455.55,4474.38,4467.92,4471.15,19493
1779120000,4452.67,4465.77,4430.63,4461.62,12528
1779206400,4440.14,4480.7,4417.9,4462.4,21445
1779292800,4499.12,4533.62,4479.15,4516.29,11296
1779379200,4439.85,4482.34,4430.22,4459.72,8115
1779638400,4454.35,4509.62,4442.69,4474.45,9542
1779724800,4417.1,4459.65,4402.94,4426.9,18612
1779811200,4461.09,4487.11,4438.43,4480.8,27047
1779897600,4367.42,4409.62,4364.95,4377.74,27442
1779984000,4313.67,4362.96,4308.87,4320.62,22991
1780243200,4269.37,4319.14,4259.75,4282.52,18880
1780329600,4247.18,4300.6,4251.05,4264.03,23396
1780416000,4540.0,4650.0,4420.0,4545.0,10480184
