time,open,high,low,close,volume
1775404800,118.44,119.84,118.73,118.96,12884
1775491200,121.84,123.03,121.6,122.36,9830
1775577600,122.2,123.37,122.8,122.81,7234
1775664000,121.15,122.61,121.64,121.72,22532
1775750400,119.44,119.82,119.04,119.7,14346
1776009600,124.6,124.81,124.7,124.78,9327
1776096000,123.54,124.78,123.13,123.55,8921
1776182400,120.13,120.56,119.45,120.42,24947
1776268800,120.1,121.15,119.45,120.59,10376
1776355200,118.46,119.71,117.71,118.67,5069
1776614400,117.42,118.33,116.71,117.84,26584
1776700800,118.33,119.3,118.12,118.57,16869
1776787200,117.31,118.33,117.84,117.84,17960
1776873600,118.4,118.48,118.08,118.44,22980
1776960000,116.91,117.93,117.29,117.35,16179
1777219200,119.35,120.52,119.06,119.42,24710
1777305600,119.4,120.94,119.31,119.89,27118
1777392000,120.27,121.36,119.69,120.74,17888
1777478400,122.28,123.92,122.55,122.72,20210
1777564800,118.33,118.96,117.65,118.37,18064
1777824000,115.83,116.07,114.99,116.06,23901
1777910400,118.93,119.41,118.3,119.22,14232
1777996800,117.8,118.08,117.19,117.86,10275
1778083200,116.06,116.71,115.78,116.54,16385
1778169600,114.99,115.85,114.21,115.33,16183
1778428800,115.36,116.37,114.61,115.64,13363
1778515200,116.55,117.43,116.27,116.84,19592
1778601600,114.48,115.78,114.09,114.92,17248
1778688000,111.99,112.6,111.65,112.48,20897
1778774400,113.76,114.37,113.51,114.06,13327
1779033600,116.96,118.1,116.76,117.06,27880
1779120000,118.72,119.94,117.98,118.99,20254
1779206400,120.11,120.39,119.61,120.25,11036
1779292800,121.56,122.91,120.93,121.92,5726
1779379200,127.54,128.63,127.61,128.11,15796
1779638400,126.92,128.16,126.66,127.11,12495
1779724800,132.49,133.33,131.97,132.96,19223
1779811200,132.24,132.77,131.71,132.38,13914
1779897600,130.89,132.0,130.15,131.3,23526
1779984000,126.16,127.76,125.5,126.72,25561
1780243200,122.02,122.45,122.0,122.4,15257
1780329600,120.37,121.1,120.45,120.75,5713
1780416000,141.5,141.5,130.5,130.5,379788969
