time,open,high,low,close,volume
1775404800,87.95,88.26,87.7,88.25,26059
1775491200,88.35,88.85,87.94,88.54,18401
1775577600,88.5,89.04,88.32,88.64,22545
1775664000,87.9,88.5,87.15,88.01,5023
1775750400,88.79,89.57,88.86,89.15,7838
1776009600,89.95,90.13,89.87,89.97,25382
1776096000,87.77,88.5,87.84,88.02,9361
1776182400,88.82,89.13,89.09,89.11,25978
1776268800,91.12,91.91,90.43,91.16,9184
1776355200,89.08,90.15,89.37,89.43,14604
1776614400,89.75,90.75,89.62,90.07,14742
1776700800,92.6,93.8,92.85,93.0,28694
1776787200,91.79,92.42,91.86,92.1,6806
1776873600,91.66,92.76,91.33,92.09,16859
1776960000,89.61,90.22,89.61,89.73,19615
1777219200,88.97,89.59,88.38,89.08,25943
1777305600,88.02,88.59,88.22,88.42,25575
1777392000,88.5,89.36,88.31,88.54,12362
1777478400,90.32,90.52,89.79,90.43,17486
1777564800,89.48,89.97,88.89,89.78,19674
1777824000,90.23,90.62,89.86,90.4,16298
1777910400,92.9,93.78,92.4,92.91,15167
1777996800,89.92,91.03,89.9,90.28,20276
1778083200,89.94,90.22,89.96,90.03,27964
1778169600,90.07,90.31,89.52,90.26,26927
1778428800,89.89,90.71,90.27,90.29,25972
1778515200,88.26,89.37,88.35,88.67,29940
1778601600,87.04,87.5,86.84,87.38,28033
1778688000,84.85,85.88,84.88,85.23,23200
1778774400,84.75,85.56,84.54,84.78,13815
1779033600,83.14,83.52,83.32,83.42,23491
1779120000,82.84,83.95,83.11,83.22,10139
1779206400,82.1,82.76,81.55,82.21,11219
1779292800,82.89,83.46,82.88,83.23,13935
1779379200,85.35,86.34,84.98,85.52,13722
1779638400,84.33,84.76,84.13,84.35,22350
1779724800,82.85,83.53,82.43,83.12,23631
1779811200,81.65,81.97,81.6,81.94,16536
1779897600,82.5,83.39,82.66,82.88,8760
1779984000,85.33,85.9,85.08,85.54,20441
1780243200,84.1,84.75,83.43,84.13,19927
1780329600,84.56,85.16,84.11,84.71,16405
1780416000,84.86,85.38,84.91,85.07,10610
