time,open,high,low,close,volume
1775404800,39.64,39.8,39.51,39.69,23551
1775491200,38.95,39.35,38.71,39.04,14215
1775577600,39.15,39.33,38.92,39.21,18629
1775664000,39.34,39.48,39.02,39.4,26327
1775750400,39.05,39.08,38.7,39.05,19605
1776009600,38.4,38.55,38.4,38.52,8484
1776096000,38.7,38.98,38.45,38.71,25874
1776182400,39.16,39.41,38.85,39.22,16921
1776268800,38.88,39.19,38.94,39.05,28941
1776355200,38.72,38.75,38.47,38.75,26099
1776614400,39.0,39.05,38.8,39.0,28184
1776700800,39.26,39.77,39.08,39.43,16368
1776787200,38.91,39.07,38.82,38.93,17612
1776873600,38.82,39.01,38.61,38.94,16886
1776960000,38.08,38.51,38.04,38.17,26548
1777219200,37.7,37.97,37.58,37.82,25606
1777305600,37.22,37.37,37.13,37.24,14622
1777392000,37.46,37.61,37.46,37.53,24933
1777478400,38.32,38.5,38.22,38.42,9101
1777564800,38.72,38.95,38.68,38.91,8116
1777824000,38.59,38.8,38.43,38.71,12537
1777910400,38.31,38.69,38.33,38.49,12207
1777996800,38.45,38.62,38.46,38.49,13956
1778083200,39.38,39.58,39.15,39.39,16403
1778169600,39.73,40.06,39.72,39.75,27411
1778428800,40.72,40.99,40.82,40.87,29462
1778515200,40.9,41.15,40.87,41.09,18973
1778601600,40.46,40.9,40.48,40.59,18478
1778688000,40.53,40.91,40.49,40.65,24703
1778774400,42.09,42.52,41.96,42.19,5051
1779033600,42.07,42.42,42.12,42.25,28568
1779120000,42.82,43.3,42.96,43.0,29324
1779206400,43.62,43.77,43.3,43.63,12800
1779292800,44.47,44.81,44.33,44.6,12420
1779379200,44.47,44.72,44.4,44.49,7365
1779638400,45.38,45.94,45.26,45.55,15103
1779724800,46.5,46.88,46.11,46.54,12424
1779811200,47.06,47.52,46.79,47.09,12281
1779897600,46.91,47.45,46.85,47.08,8894
1779984000,46.73,47.19,46.63,46.82,21060
1780243200,48.36,48.81,48.03,48.43,26653
1780329600,48.44,49.02,48.57,48.63,29205
1780416000,48.11,48.53,48.18,48.22,18726
