time,open,high,low,close,volume
1775404800,49.48,49.78,49.35,49.61,23429
1775491200,50.33,50.62,49.94,50.36,10929
1775577600,50.84,51.25,50.5,51.01,15500
1775664000,49.79,49.89,49.79,49.86,18331
1775750400,49.47,49.9,49.36,49.64,17504
1776009600,49.13,49.48,48.89,49.31,25077
1776096000,49.71,49.77,49.62,49.77,24966
1776182400,50.13,50.47,49.77,50.14,24629
1776268800,50.72,51.09,50.51,50.8,20700
1776355200,50.68,50.85,50.69,50.81,5196
1776614400,51.51,51.99,51.36,51.55,8584
1776700800,52.95,53.54,53.13,53.17,25749
1776787200,53.41,54.1,53.39,53.64,13356
1776873600,54.42,54.75,54.12,54.6,8627
1776960000,53.48,53.98,53.23,53.5,13964
1777219200,52.53,53.12,52.23,52.74,13544
1777305600,51.46,52.11,51.43,51.6,11856
1777392000,51.29,51.82,51.11,51.48,18602
1777478400,51.15,51.79,51.26,51.36,20787
1777564800,50.8,51.04,50.79,50.91,25407
1777824000,50.68,51.02,50.75,50.91,16941
1777910400,51.69,52.3,51.84,51.91,8388
1777996800,51.59,51.99,51.24,51.64,5483
1778083200,51.36,51.45,51.33,51.44,25181
1778169600,51.36,51.9,50.94,51.42,18734
1778428800,51.71,52.32,51.71,51.91,5242
1778515200,50.73,51.26,50.6,50.78,18649
1778601600,49.94,50.59,49.88,50.09,29671
1778688000,49.83,50.38,49.57,49.99,15918
1778774400,50.23,50.8,49.97,50.35,17285
1779033600,51.09,51.15,51.12,51.15,12375
1779120000,50.69,51.29,50.59,50.92,6251
1779206400,50.63,50.95,50.67,50.85,7671
1779292800,50.05,50.68,50.14,50.29,9363
1779379200,50.99,51.27,51.0,51.11,21025
1779638400,50.86,51.13,50.82,50.95,23930
1779724800,51.16,51.31,50.83,51.17,17720
1779811200,50.3,50.87,50.06,50.43,24092
1779897600,49.58,50.01,49.48,49.79,5971
1779984000,48.34,48.6,48.34,48.53,8982
1780243200,48.52,49.14,48.36,48.69,21470
1780329600,47.26,47.52,46.99,47.34,11467
1780416000,24.65,25.2,24.45,24.85,45323366
