time,open,high,low,close,volume
1775404800,36.43,36.76,36.11,36.47,17425
1775491200,35.8,35.98,35.78,35.9,23007
1775577600,36.98,37.44,36.9,37.11,21954
1775664000,37.6,37.81,37.34,37.69,29509
1775750400,36.72,37.12,36.76,36.76,25856
1776009600,35.38,35.63,35.17,35.52,21702
1776096000,35.9,36.16,35.87,35.95,23182
1776182400,36.44,36.55,36.31,36.49,6460
1776268800,36.94,37.19,36.79,37.07,19345
1776355200,36.93,37.39,36.77,37.04,17882
1776614400,37.23,37.5,37.17,37.25,17669
1776700800,37.48,37.71,37.35,37.56,8714
1776787200,37.09,37.26,37.08,37.23,25845
1776873600,37.12,37.31,37.19,37.23,28549
1776960000,36.58,36.86,36.58,36.75,9279
1777219200,36.55,36.92,36.67,36.69,17303
1777305600,37.16,37.22,36.94,37.17,21435
1777392000,37.41,37.48,37.38,37.44,22302
1777478400,38.11,38.36,37.82,38.13,7951
1777564800,39.01,39.19,38.86,39.1,25111
1777824000,39.67,39.99,39.82,39.84,5429
1777910400,39.0,39.15,38.85,39.1,21841
1777996800,39.3,39.39,39.01,39.35,15445
1778083200,38.29,38.42,38.08,38.39,25454
1778169600,37.69,38.13,37.51,37.84,17799
1778428800,38.27,38.29,38.12,38.29,10150
1778515200,38.2,38.56,38.24,38.35,25001
1778601600,38.23,38.37,38.08,38.37,10912
1778688000,37.3,37.72,37.41,37.41,11890
1778774400,36.77,37.06,36.75,36.8,17571
1779033600,37.39,37.84,37.44,37.46,8362
1779120000,36.74,36.94,36.65,36.84,29402
1779206400,36.7,36.85,36.45,36.78,26900
1779292800,36.81,36.98,36.63,36.88,7189
1779379200,36.7,36.72,36.51,36.71,22681
1779638400,36.12,36.56,36.13,36.22,25838
1779724800,35.76,35.89,35.57,35.84,13175
1779811200,36.56,36.59,36.35,36.56,29692
1779897600,35.86,36.15,35.8,35.9,13325
1779984000,36.31,36.51,36.1,36.31,28009
1780243200,36.51,36.87,36.27,36.56,16895
1780329600,36.55,36.65,36.38,36.58,29858
1780416000,36.7,37.0,36.54,36.75,29330
