time,open,high,low,close,volume
1775404800,49.51,49.81,49.58,49.66,29395
1775491200,49.5,49.84,49.19,49.5,6369
1775577600,48.44,48.92,48.51,48.64,29317
1775664000,47.14,47.43,47.13,47.21,23137
1775750400,46.54,47.12,46.5,46.75,10162
1776009600,45.25,45.48,45.45,45.47,19850
1776096000,45.31,45.66,45.35,45.41,18753
1776182400,45.9,46.02,45.49,45.91,16029
1776268800,46.41,46.58,46.44,46.51,9326
1776355200,45.6,45.89,45.32,45.77,27411
1776614400,45.26,45.71,45.04,45.32,17664
1776700800,44.83,45.29,44.59,44.85,23499
1776787200,45.34,45.89,45.15,45.52,14561
1776873600,45.68,46.15,45.69,45.74,16629
1776960000,45.2,45.51,45.24,45.3,10091
1777219200,45.4,45.62,45.46,45.56,22889
1777305600,44.53,45.09,44.71,44.74,15462
1777392000,44.32,44.41,44.33,44.36,13816
1777478400,43.34,43.72,43.35,43.51,7444
1777564800,44.26,44.72,44.08,44.34,14205
1777824000,44.48,44.75,44.16,44.56,20244
1777910400,44.78,44.89,44.64,44.8,29886
1777996800,44.29,44.64,44.21,44.35,8027
1778083200,44.22,44.75,44.11,44.36,12031
1778169600,44.55,44.8,44.48,44.61,19012
1778428800,43.5,43.74,43.2,43.6,24611
1778515200,43.98,44.16,44.03,44.11,13203
1778601600,46.01,46.08,45.73,46.04,12041
1778688000,45.83,46.05,45.74,45.94,24758
1778774400,44.86,45.31,44.94,44.97,28636
1779033600,44.6,45.04,44.5,44.66,17326
1779120000,44.19,44.33,43.83,44.27,29569
1779206400,45.11,45.33,45.13,45.25,10805
1779292800,45.36,45.7,45.4,45.54,5696
1779379200,44.86,45.08,44.69,44.97,20601
1779638400,44.72,45.31,44.61,44.9,28309
1779724800,44.26,44.75,44.31,44.44,18241
1779811200,44.49,45.0,44.44,44.66,25118
1779897600,43.68,44.13,43.73,43.87,16635
1779984000,43.44,43.62,43.56,43.57,24717
1780243200,43.17,43.42,42.96,43.21,7138
1780329600,43.5,43.66,43.19,43.55,25939
1780416000,43.38,43.66,43.51,43.57,7004
