time,open,high,low,close,volume
1775370557,291.5,295.57,289.35,290.47,44684
1775456957,294.46,298.89,290.46,293.06,45999
1775543357,292.38,295.96,292.05,294.92,18131
1775629757,294.22,299.25,288.27,293.82,19214
1775716157,290.43,297.42,285.46,293.1,48893
1775802557,294.04,297.12,290.22,291.3,23276
1775888957,295.76,298.44,287.52,290.92,41140
1775975357,293.74,295.48,285.56,291.0,21404
1776061757,289.5,295.2,284.98,291.99,32215
1776148157,294.67,297.45,291.63,294.31,7847
1776234557,294.96,295.55,294.57,294.89,16433
1776320957,296.12,298.48,296.07,297.25,22773
1776407357,291.81,294.35,286.02,293.51,19757
1776493757,297.5,301.04,293.33,296.89,49016
1776580157,292.72,298.73,288.43,293.24,28746
1776666557,294.45,300.05,286.62,292.38,28934
1776752957,293.21,300.39,292.41,296.7,9636
1776839357,290.52,291.76,287.87,290.23,41509
1776925757,293.1,296.75,289.17,290.74,38682
1777012157,293.47,296.77,292.11,295.59,7366
1777098557,291.14,293.99,288.33,292.17,19787
1777184957,290.96,293.89,288.46,290.63,35999
1777271357,290.81,291.71,286.48,290.04,13586
1777357757,295.61,298.63,291.27,296.77,9655
1777444157,294.08,297.34,289.35,291.96,42760
1777530557,288.52,288.82,283.66,287.96,11561
1777616957,293.78,297.92,289.47,294.78,16525
1777703357,290.68,295.34,287.17,293.96,34731
1777789757,294.3,296.84,289.78,293.83,18991
1777876157,295.57,301.14,290.16,296.77,15838
1777962557,291.64,295.46,286.03,287.59,45842
1778048957,297.31,301.72,290.56,295.03,14767
1778135357,296.73,304.76,294.37,298.92,44339
1778221757,295.44,296.82,288.43,292.24,14458
1778308157,298.23,303.18,297.55,298.23,6960
1778394557,296.83,298.43,292.05,296.12,38527
1778480957,291.43,295.16,286.86,294.91,11656
1778567357,293.93,299.11,283.92,289.28,19586
1778653757,296.27,301.97,291.81,296.25,13923
1778740157,293.68,298.9,283.37,288.58,47849
1778826557,289.55,294.38,285.02,288.48,38490
1778912957,294.43,295.27,290.38,294.79,47643
1778999357,299.06,303.61,290.57,294.35,41852
1779085757,295.91,302.29,291.67,297.73,13334
1779172157,289.42,289.8,288.15,288.34,32538
1779258557,297.3,299.88,296.68,298.83,41959
1779344957,292.98,295.03,288.09,291.05,49015
1779431357,299.18,302.22,289.82,294.01,30156
1779517757,302.32,308.16,296.76,301.42,49058
1779604157,292.15,293.64,285.32,289.73,43661
1779690557,294.08,298.44,286.15,291.91,12966
1779776957,297.42,302.32,288.24,294.08,28447
1779863357,290.47,293.58,284.89,293.15,28049
1779949757,295.1,301.11,289.34,297.01,21688
1780036157,300.54,305.0,296.47,300.26,49343
1780122557,297.58,299.99,294.29,297.07,12054
1780208957,291.48,298.25,290.84,293.57,45952
1780295357,297.19,301.16,295.45,296.16,32091
1780381757,291.93,293.77,286.07,289.06,47899
1780416000,306.0,314.0,299.0,309.0,149620933
1780468157,297.29,302.89,295.86,299.05,5327
